 Country	Guns	Rank	Comments 
 United States	88.8	1	
 Serbia	58.2	2	[5]
 Yemen	54.8	3	
 Switzerland	45.7	4	
 Cyprus	36.4	5	
 Saudi Arabia	35	6	
 Iraq	34.2	7	
 Finland	32	8	[6]
 Uruguay	31.8	9	
 Sweden	31.6	10	
 Norway	31.3	11	
 France	31.2	12	
 Canada	30.8	13	
 Austria	30.4	14	
 Germany	30.3	15	
 Iceland	30.3	15	
 Oman	25.5	17	
 Bahrain	24.8	18	
 Kuwait	24.8	18	
 Macedonia	24.1	20	
 Montenegro	23.1	21	
 New Zealand	22.6	22	1993: 26.8.[2]
 Greece	22.5	23	
 United Arab Emirates	22.1	24	
 Northern Ireland	21.9	25	
 Croatia	21.7	26	
 Panama	21.7	26	
 Lebanon	21	28	
 Equatorial Guinea	19.9	29	
 Qatar	19.2	31	
 Latvia	19	32	
 Peru	18.8	33	
 Angola	17.3	34	
 Bosnia and Herzegovina	17.3	34	
 Belgium	17.2	36	
 Paraguay	17	37	
 Czech Republic	16.3	38	
 Thailand	15.6	39	
 Libya	15.5	40	
 Luxembourg	15.3	41	
 Australia	15	42	
 Mexico	15	42	
 Mauritius	14.7	44	
 Guyana	14.6	45	
 Gabon	14	46	
 Slovenia	13.5	47	
 Suriname	13.4	48	
 Guatemala	13.1	49	
 South Africa	12.7	50	
 Namibia	12.6	51	
 Armenia	12.5	52	
 Turkey	12.5	52	
 Denmark	12	54	
 Italy	11.9	55	
 Malta	11.9	55	
 Pakistan	11.6	57	
 Jordan	11.5	58	
 Chile	10.7	59	
 Venezuela	10.7	59	
 Spain	10.4	61	
 Argentina	10.2	62	
 Belize	10	63	
 Costa Rica	9.9	64	
 Estonia	9.2	65	
 Somalia	9.1	66	
 Transnistria	9.1	66	
 Russia	8.9	68	
 Zambia	8.9	68	
 Albania	8.6	70	
 Ireland	8.6	70	
 Portugal	8.5	72	
 Slovakia	8.3	73	
 Jamaica	8.1	74	
 Brazil	8	75	
 Barbados	7.8	76	
 Nicaragua	7.7	77	
 Algeria	7.6	78	
 Belarus	7.3	79	
 Georgia	7.3	79	
 Iran	7.3	79	
 Israel	7.3	79	
 Moldova	7.1	83	
 Ukraine	6.6	84	
 Maldives	6.5	85	
 Kenya	6.4	86	
 Swaziland	6.4	86	
 Bulgaria	6.2	88	
 England and Wales	6.2	88	
 Honduras	6.2	88	
 Colombia	5.9	91	
 El Salvador	5.8	92	
 Hungary	5.5	93	
 Scotland	5.5	93	
 Sudan	5.5	93	Includes South Sudan
 Cape Verde	5.4	96	
 Seychelles	5.4	96	
 Bahamas	5.3	98	
 Dominican Republic	5.1	99	
 Mozambique	5.1	99	
 Morocco	5	101	
 Botswana	4.9	102	
 China	4.9	102	
 Cuba	4.8	104	
 Philippines	4.7	105	
 Afghanistan	4.6	106	
 Taiwan	4.6	106	
 Zimbabwe	4.6	106	
 Cambodia	4.3	109	
 India	4.2	110	
 Burma	4	111	
 Netherlands	3.9	112	
 Syria	3.9	112	
 Turkmenistan	3.8	114	
 Azerbaijan	3.5	115	
 Egypt	3.5	115	
 Bhutan	3.5	115	
 Palestine	3.4	118	
 Bolivia	2.8	119	
 Cameroon	2.8	119	
 Djibouti	2.8	119	
 Congo	2.7	122	
 Lesotho	2.7	122	
 Ivory Coast	2.4	124	
 Senegal	2	125	
 Mongolia	1.9	126	
 Comoros	1.8	127	
 Vietnam	1.7	128	
 Guinea-Bissau	1.6	129	
 Liberia	1.6	129	
 Mauritania	1.6	129	
 Trinidad and Tobago	1.6	129	
 Malaysia	1.5	133	
 Nigeria	1.5	133	
 Sri Lanka	1.5	133	
 Uzbekistan	1.5	133	
 Benin	1.4	137	
 Brunei	1.4	137	
 Democratic Republic of the Congo	1.4	137	
 Tanzania	1.4	137	
 Uganda	1.4	137	
 Ecuador	1.3	142	
 Kazakhstan	1.3	142	
 Poland	1.3	142	
 Burundi	1.2	145	
 Laos	1.2	145	
 Guinea	1.2	145	
 Papua New Guinea	1.2	145	
 Burkina Faso	1.1	149	
 Chad	1.1	149	
 South Korea	1.1	149	
 Mali	1.1	149	
 Central African Republic	1	153	
 Tajikistan	1	153	
 Togo	1	153	
 Kyrgyzstan	.9	156	
 Gambia	.8	157	
 Madagascar	.8	157	
 Nepal	.8	157	
 Lithuania	.7	160	
 Malawi	.7	160	
 Niger	.7	160	
 Romania	.7	160	
 Haiti	.6	164	
 Japan	.6	164	
 North Korea	.6	164	
 Rwanda	.6	164	
 Sierra Leone	.6	164	
 Bangladesh	.5	169	
 Eritrea	.5	169	
 Fiji	.5	169	
 Indonesia	.5	169	
 Singapore	.5	169	
 Ethiopia	.4	174	
 Ghana	.4	174	
 Solomon Islands	.4	174	
 Timor-Leste	.3	177	
 Tunisia	.1	178	

